name ,province_id

Kota Langsa,1

Kota Lhokseumawe,1

Kota Sabang,1

Kota Banda Aceh,1

Kab. Bener Meriah,1

Kab. Aceh Tamiang,1

Kab. Nagan Jaya,1

Kab. Aceh Jaya,1

Kab. Gayo Lues,1

Kab. Aceh Barat Daya,1

Kab. Bireun,1

Kab. Aceh Sangkil,1

Kab. Simeulue,1

Kab. Aceh Utara,1

Kab. Pidie,1

Kab. Aceh Besar,1

Kab. Aceh Barat,1

Kab. Tengah,1

Kab. Aceh Timur,1

Kab. Aceh Tenggara,1

Kab. Aceh Selatan,1

Kota Padang Sidempuan,2

Kota Tebing Tinggi,2

Kota Binjai,2

Kota Tanjung Balai,2

Kota Sibolga,2

Kota Pematang Siantar,2

Kota Medan,2

Kab. Serdang Bedagai,2

Kab. Samosir,2

Kab. Humbang Hasundutan,2

Kab. Pakpak Barat,2

Kab. Nias Selatan,2

Kab. Mandailing Natal,2

Kab. Toba Samosir,2

Kab. Dairi,2

Kab. Labuhan Batu,2

Kab. Asahan,2

Kab. Simalungun,2

Kab. Deli Serdang,2

Kab. Karo,2

Kab. Langkat,2

Kab. Nias,2

Kab. Tapanuli Selatan,2

Kab. Tapanuli Utara,2

Kab. Tapanuli Tengah,2

Kota Pariaman,3

Kota Payakumbuh,3

Kota Bukittinggi,3

Kota Padang Panjang,3

Kota Sawahlunto,3

Kota Solok,3

Kota Padang,3

Kab. Pasaman Barat,3

Kab. Solok Selatan,3

Kab. Dharmasraya,3

Kab. Kepulauan Mentawai,3

Kab. Pasaman,3

Kab. Lima Puluh Kota,3

Kab. Agam,3

Kab. Padang Pariaman,3

Kab. Tanah Datar,3

Kab. Sawahlunto,3

Kab. Solok,3

Kab. Pesisir Selatan,3

Kota Dumai,4

Kota Pekanbaru,4

Kab. Kuantan Singingi,4

Kab. Siak,4

Kab. Rokan Hilir,4

Kab. Rokan Hulu,4

Kab. Pelalawan,4

Kab. Indragiri Hilir,4

Kab. Bengkalis,4

Kab. Indragiri Hulu,4

Kab. Kampar,4

Kota Jambi,5

Kab. Kerinci,5

Kab. Tebo,5

Kab. Bungo,5

Kab. Tanjung Jabung Timur,5

Kab. Tanjung Jabung Barat,5

Kab. Muaro Jambi,5

Kab. Batanghari,5

Kota Prabumulih,6

Kota Lubuk Linggau,6

Kota Pagar Alam,6

Kota Palembang,6

Kab. Ogan Ilir,6

Kab. Oku Selatan,6

Kab. Oku Timur,6

Kab. Banyuasin,6

Kab. Musi Banyuasin,6

Kab. Musi Rawas,6

Kab. Lahat,6

Kab. Muara Enim,6

Kab. Ogan Komering Ilir,6

Kab. Ogan Komering Ulu,6

Kota Bengkulu,7

Kab. Kepahiang,7

Kab. Lebong,7

Kab. Muko Muko,7

Kab. Saluma,7

Kab. Kaur,7

Kab. Bengkulu Utara,7

Kab. Rejang Lebong,7

Kab. Bengkulu Selatan,7

Kota Metro,8

Kota Bandar Lampung,8

Kab. Way Kanan,8

Kab. Lampung Timur,8

Kab. Tanggamus,8

Kab. Tulang Bawang,8

Kab. Lampung Barat,8

Kab. Lampung Utara,8

Kab. Lampung Tengah,8

Kab. Lampung Selatan,8

Kota Pangkal Pinang,9

Kab. Bangka Timur,9

Kab. Bangka Barat,9

Kab. Bangka Tengah,9

Kab. Bangka Selatan,9

Kab. Belitung,9

Kab. Bangka,9

Kota Tanjung Pinang,10

Kota Batam,10

Kab. Lingga,10

Kab. Natuna,10

Kab. Karimun,10

Kab. Kepulauan Riau,10

Kodya Jakarta Timur,11

Kodya Jakarta Selatan,11

Kodya Jakarta Barat,11

Kodya Jakarta Utara,11

Kodya Jakarta Pusat,11

Kab. Adm. Kep. Seribu,11

Kota Banjar,12

Kota Tasikmalaya,12

Kota Cimahi,12

Kota Depok,12

Kota Bekasi,12

Kota Cirebon,12

Kota Bandung,12

Kota Sukabumi,12

Kota Bogor,12

Kab. Bekasi,12

Kab. Karawang,12

Kab. Purwakarta,12

Kab. Subang,12

Kab. Indramayu,12

Kab. Sumedang,12

Kab. Majalengka,12

Kab. Cirebon,12

Kab. Kuningan,12

Kab. Ciamis,12

Kab. Tasikmalaya,12

Kab. Garut,12

Kab. Bandung,12

Kab. Cianjur,12

Kab. Sukabumi,12

Kab. Bogor,12

